DURATION,GOAL_DESC,SEASON,DATE_TIME,HOME_TEAM,AWAY_TEAM,STADIUM,POSITION,HEIGHT,WEIGHT,FOOT,GOAL_SCORER,GOAL_SCORER_TEAM_NAME,ASSIST_PLAYER,GOALS,ASSISTS
4,right-footed shot,2020-2021,44138,FC Porto,Olympique Marseille,Estádio do Dragão,Forward,183,83,R,Moussa Marega,FC Porto,Jesús Corona,1,3
28,penalty,2020-2021,44138,FC Porto,Olympique Marseille,Estádio do Dragão,Midfielder,181,78,R,Sérgio Oliveira,FC Porto,Jesús Corona,1,3
69,right-footed shot,2020-2021,44138,FC Porto,Olympique Marseille,Estádio do Dragão,Forward,180,73,R,Luis Díaz,FC Porto,Jesús Corona,1,3
52,right-footed shot,2018-2019,43530,FC Porto,AS Roma,Estádio do Dragão,Forward,183,83,R,Moussa Marega,FC Porto,Jesús Corona,1,1
90,penalty,2016-2017,42661,Club Brugge KV,FC Porto,Jan Breydel Stadion,Forward,185,84,R,André Silva,FC Porto,Jesús Corona,1,1
6,header,2016-2017,42711,FC Porto,Leicester City,Estádio do Dragão,Forward,185,84,R,André Silva,FC Porto,Jesús Corona,2,1
35,header,2018-2019,43397,Lokomotiv Moskva,FC Porto,RŽD-Arena,Midfielder,185,78,R,Héctor Herrera,FC Porto,Jesús Corona,1,1
16,left-footed shot,2021-2022,44454,FC Sheriff,Shakhtar Donetsk,Sheriff Stadium,Forward,177,74,L,Adama Traoré I,,Cristiano,1,2
62,header,2021-2022,44454,FC Sheriff,Shakhtar Donetsk,Sheriff Stadium,Forward,180,79,R,Momo Yansane,,Cristiano,1,2
64,penalty,2016-2017,42711,FC Porto,Leicester City,Estádio do Dragão,Forward,185,84,R,André Silva,FC Porto,André Silva,2,2
77,right-footed shot,2016-2017,42711,FC Porto,Leicester City,Estádio do Dragão,Forward,178,70,R,Diogo Jota,FC Porto,André Silva,1,2
16,left-footed shot,2016-2017,42661,Real Madrid,Legia Warszawa,Santiago Bernabéu,Forward,185,82,L,Gareth Bale,Real Madrid,Danilo,1,1
46,left-footed shot,2020-2021,44244,FC Porto,Juventus,Estádio do Dragão,Forward,183,83,R,Moussa Marega,FC Porto,Wilson Manafá,1,1
90,header,2021-2022,44503,FC Sheriff,Inter,Sheriff Stadium,Forward,177,74,L,Adama Traoré I,,Sébastien Thill,1,1
49,header,2018-2019,43376,FC Porto,Galatasaray,Estádio do Dragão,Forward,183,83,R,Moussa Marega,FC Porto,Alex Telles,1,1
37,header,2016-2017,42676,FC Porto,Club Brugge KV,Estádio do Dragão,Forward,185,84,R,André Silva,FC Porto,Alex Telles,1,1
69,header,2018-2019,43572,FC Porto,Liverpool FC,Estádio do Dragão,Defender,186,78,R,Eder Militão,FC Porto,Alex Telles,1,1
79,right-footed shot,2018-2019,43508,AS Roma,FC Porto,Olimpico,Forward,183,73,R,Adrián,,Tiquinho Soares,2,2
79,right-footed shot,2018-2019,43508,AS Roma,FC Porto,Olimpico,Forward,183,73,R,Adrián,,Tiquinho Soares,2,2
26,left-footed shot,2016-2017,42711,FC Porto,Leicester City,Estádio do Dragão,Forward,173,66,,Jesús Corona,FC Porto,Alex Telles,1,1
26,penalty,2018-2019,43397,Lokomotiv Moskva,FC Porto,RŽD-Arena,Forward,183,83,R,Moussa Marega,FC Porto,Felipe Monteiro,1,1
18,left-footed shot,2017-2018,43025,RB Leipzig,FC Porto,Red Bull Arena,Forward,184,82,R,Vincent Aboubakar,FC Porto,Felipe Monteiro,1,1
43,right-footed shot,2018-2019,43410,FC Porto,Lokomotiv Moskva,Estádio do Dragão,Forward,183,83,R,Moussa Marega,FC Porto,Héctor Herrera,1,1
90,header,2020-2021,44125,Olympiakos Piraeus,Olympique Marseille,Georgios Karaiskakis,Forward,191,78,R,Ahmed Hassan,,Mathieu Valbuena,1,1
7,right-footed shot,2018-2019,43592,Liverpool FC,FC Barcelona,Anfield,Forward,185,75,R,Divock Origi,Liverpool FC,N/A,2,0
17,left-footed shot,2021-2022,44607,Sporting CP,Manchester City,Estádio José Alvalade,Midfielder,173,64,L,Bernardo Silva,Manchester City,N/A,2,0
11,right-footed shot,2020-2021,44320,Manchester City,Paris Saint-Germain,Etihad Stadium,Forward,179,67,L,Riyad Mahrez,Manchester City,N/A,2,0
32,right-footed shot,2021-2022,44664,Liverpool FC,SL Benfica,Anfield,Forward,185,79,R,Gonçalo Ramos,SL Benfica,N/A,1,0
73,right-footed shot,2016-2017,42857,Real Madrid,Atlético Madrid,Santiago Bernabéu,Forward,187,83,,Cristiano Ronaldo,Real Madrid,N/A,3,0
44,left-footed shot,2017-2018,43025,RB Leipzig,FC Porto,Red Bull Arena,Defender,189,79,L,Marcano,FC Porto,Héctor Herrera,3,3
44,left-footed shot,2017-2018,43025,RB Leipzig,FC Porto,Red Bull Arena,Defender,189,79,L,Marcano,,Héctor Herrera,3,3
44,left-footed shot,2017-2018,43025,RB Leipzig,FC Porto,Red Bull Arena,Defender,189,79,L,Marcano,,Héctor Herrera,3,3
90,right-footed shot,2018-2019,43432,FC Porto,FC FC Schalke 04,Estádio do Dragão,Forward,183,83,R,Moussa Marega,FC Porto,Otávio,1,1
68,right-footed shot,2016-2017,42661,Club Brugge KV,FC Porto,Jan Breydel Stadion,Defender,183,75,,Miguel Layún,FC Porto,Otávio,1,1
72,penalty,2020-2021,44160,Olympique Marseille,FC Porto,Vélodrome,Midfielder,181,78,R,Sérgio Oliveira,FC Porto,Moussa Marega,1,1
85,header,2020-2021,44131,FC Porto,Olympiakos Piraeus,Estádio do Dragão,Midfielder,181,78,R,Sérgio Oliveira,FC Porto,Moussa Marega,1,1
2,right-footed shot,2018-2019,43410,FC Porto,Lokomotiv Moskva,Estádio do Dragão,Midfielder,185,78,R,Héctor Herrera,FC Porto,Moussa Marega,1,1
26,right-footed shot,2018-2019,43530,FC Porto,AS Roma,Estádio do Dragão,Forward,187,89,R,Tiquinho Soares,FC Porto,Moussa Marega,1,1
69,right-footed shot,2017-2018,43004,AS Monaco,FC Porto,Stade Louis II,Forward,184,82,R,Vincent Aboubakar,FC Porto,Moussa Marega,2,2
89,right-footed shot,2017-2018,43004,AS Monaco,FC Porto,Stade Louis II,Defender,183,75,,Miguel Layún,FC Porto,Moussa Marega,1,2
64,left-footed shot,2018-2019,43361,FC Schalke 04,FC Porto,Veltins-Arena,Forward,187,88,R,Breel Embolo,FC Schalke 04,Weston McKennie,1,1
70,header,2020-2021,44243,FC Barcelona,Paris Saint-Germain,Spotify Camp Nou,Forward,182,72,R,Moise Kean,Paris Saint-Germain,Leandro Paredes,1,1
66,right-footed shot,2018-2019,43362,BSC Young Boys,Manchester United,Stadion Wankdorf,Forward,181,76,R,Anthony Martial,Manchester United,Paul Pogba,1,1
21,left-footed shot,2020-2021,44132,Manchester United,RB Leipzig,Old Trafford,Forward,181,70,,Mason Greenwood,Manchester United,Paul Pogba,1,1
87,right-footed shot,2020-2021,44124,Paris Saint-Germain,Manchester United,Parc des Princes,Forward,185,70,R,Marcus Rashford,Manchester United,Paul Pogba,1,1
64,left-footed shot,2017-2018,43074,Manchester United,CSKA Moskva,Old Trafford,Forward,192,93,L,Romelu Lukaku,Manchester United,Paul Pogba,1,1
82,right-footed shot,2020-2021,44244,FC Porto,Juventus,Estádio do Dragão,Forward,175,70,R,Federico Chiesa,Juventus,Adrien Rabiot,1,1
19,right-footed shot,2017-2018,42990,Celtic FC,Paris Saint-Germain,Celtic Park,Forward,175,68,R,Neymar,Paris Saint-Germain,Adrien Rabiot,1,1
9,left-footed shot,2017-2018,43061,Paris Saint-Germain,Celtic FC,Parc des Princes,Forward,175,68,R,Neymar,Paris Saint-Germain,Adrien Rabiot,2,1
90,right-footed shot,2016-2017,42675,FC Basel,Paris Saint-Germain,St. Jakob-Park,Defender,191,90,R,Thomas Meunier,Paris Saint-Germain,Adrien Rabiot,1,1
37,left-footed shot,2016-2017,42661,Real Madrid,Legia Warszawa,Santiago Bernabéu,Forward,182,76,L,Marco Asensio,Real Madrid,Cristiano Ronaldo,1,2
84,right-footed shot,2016-2017,42661,Real Madrid,Legia Warszawa,Santiago Bernabéu,Forward,187,82,R,Álvaro Morata,Real Madrid,Cristiano Ronaldo,1,2
49,right-footed shot,2016-2017,42781,Real Madrid,SSC Napoli,Santiago Bernabéu,Midfielder,183,76,R,Toni Kroos,Real Madrid,Cristiano Ronaldo,1,1
29,left-footed shot,2016-2017,42696,Sporting CP,Real Madrid,Estádio José Alvalade,Defender,191,81,R,Raphaël Varane,Real Madrid,Cristiano Ronaldo,1,1
49,right-footed shot,2020-2021,44264,Juventus,FC Porto,Allianz Stadium,Forward,175,70,R,Federico Chiesa,Juventus,Cristiano Ronaldo,2,1
45,right-footed shot,2017-2018,43060,APOEL Nikosia,Real Madrid,Neo GSP Stadium,Forward,185,81,R,Karim Benzema,Real Madrid,Cristiano Ronaldo,2,1
22,left-footed shot,2017-2018,43061,Paris Saint-Germain,Celtic FC,Parc des Princes,Forward,175,68,R,Neymar,Paris Saint-Germain,Marco Verratti,2,1
80,right-footed shot,2017-2018,43165,Paris Saint-Germain,Real Madrid,Parc des Princes,Midfielder,185,84,R,Casemiro,Real Madrid,Cristiano Ronaldo,1,1
80,left-footed shot,2018-2019,43446,BSC Young Boys,Juventus,Stadion Wankdorf,Forward,177,75,L,Paulo Dybala,Juventus,Cristiano Ronaldo,1,1
