DURATION,GOAL_DESC,SEASON,DATE_TIME,HOME_TEAM,AWAY_TEAM,STADIUM,POSITION,HEIGHT,WEIGHT,FOOT,GOAL_SCORER,GOAL_SCORER_TEAM_NAME,ASSIST_PLAYER,GOALS,ASSISTS
4,right-footed shot,2020-2021,"Tuesday, November 3, 2020",FC Porto,Olympique Marseille,Estádio do Dragão,Forward,183,83,R,Moussa Marega,FC Porto,Jesús Corona,1,3
28,penalty,2020-2021,"Tuesday, November 3, 2020",FC Porto,Olympique Marseille,Estádio do Dragão,Midfielder,181,78,R,Sérgio Oliveira,FC Porto,Jesús Corona,1,3
69,right-footed shot,2020-2021,"Tuesday, November 3, 2020",FC Porto,Olympique Marseille,Estádio do Dragão,Forward,180,73,R,Luis Díaz,FC Porto,Jesús Corona,1,3
52,right-footed shot,2018-2019,"Wednesday, March 6, 2019",FC Porto,AS Roma,Estádio do Dragão,Forward,183,83,R,Moussa Marega,FC Porto,Jesús Corona,1,1
90,penalty,2016-2017,"Tuesday, October 18, 2016",Club Brugge KV,FC Porto,Jan Breydel Stadion,Forward,185,84,R,André Silva,FC Porto,Jesús Corona,1,1
6,header,2016-2017,"Wednesday, December 7, 2016",FC Porto,Leicester City,Estádio do Dragão,Forward,185,84,R,André Silva,FC Porto,Jesús Corona,2,1
35,header,2018-2019,"Wednesday, October 24, 2018",Lokomotiv Moskva,FC Porto,RŽD-Arena,Midfielder,185,78,R,Héctor Herrera,FC Porto,Jesús Corona,1,1
16,left-footed shot,2021-2022,"Wednesday, September 15, 2021",FC Sheriff,Shakhtar Donetsk,Sheriff Stadium,Forward,177,74,L,Adama Traoré I,#N/A,Cristiano,1,2
64,penalty,2016-2017,"Wednesday, December 7, 2016",FC Porto,Leicester City,Estádio do Dragão,Forward,185,84,R,André Silva,FC Porto,André Silva,2,2
77,right-footed shot,2016-2017,"Wednesday, December 7, 2016",FC Porto,Leicester City,Estádio do Dragão,Forward,178,70,R,Diogo Jota,FC Porto,André Silva,1,2
16,left-footed shot,2016-2017,"Tuesday, October 18, 2016",Real Madrid,Legia Warszawa,Santiago Bernabéu,Forward,185,82,L,Gareth Bale,Real Madrid,Danilo,1,1
46,left-footed shot,2020-2021,"Wednesday, February 17, 2021",FC Porto,Juventus,Estádio do Dragão,Forward,183,83,R,Moussa Marega,FC Porto,Wilson Manafá,1,1
90,header,2021-2022,"Wednesday, November 3, 2021",FC Sheriff,Inter,Sheriff Stadium,Forward,177,74,L,Adama Traoré I,#N/A,Sébastien Thill,1,1
49,header,2018-2019,"Wednesday, October 3, 2018",FC Porto,Galatasaray,Estádio do Dragão,Forward,183,83,R,Moussa Marega,FC Porto,Alex Telles,1,1
37,header,2016-2017,"Wednesday, November 2, 2016",FC Porto,Club Brugge KV,Estádio do Dragão,Forward,185,84,R,André Silva,FC Porto,Alex Telles,1,1
69,header,2018-2019,"Wednesday, April 17, 2019",FC Porto,Liverpool FC,Estádio do Dragão,Defender,186,78,R,Eder Militão,FC Porto,Alex Telles,1,1
79,right-footed shot,2018-2019,"Tuesday, February 12, 2019",AS Roma,FC Porto,Olimpico,Forward,183,73,R,Adrián,#N/A,Tiquinho Soares,2,2
26,left-footed shot,2016-2017,"Wednesday, December 7, 2016",FC Porto,Leicester City,Estádio do Dragão,Forward,173,66,,Jesús Corona,FC Porto,Alex Telles,1,1
26,penalty,2018-2019,"Wednesday, October 24, 2018",Lokomotiv Moskva,FC Porto,RŽD-Arena,Forward,183,83,R,Moussa Marega,FC Porto,Felipe Monteiro,1,1
18,left-footed shot,2017-2018,"Tuesday, October 17, 2017",RB Leipzig,FC Porto,Red Bull Arena,Forward,184,82,R,Vincent Aboubakar,FC Porto,Felipe Monteiro,1,1
43,right-footed shot,2018-2019,"Tuesday, November 6, 2018",FC Porto,Lokomotiv Moskva,Estádio do Dragão,Forward,183,83,R,Moussa Marega,FC Porto,Héctor Herrera,1,1
79,right-footed shot,2018-2019,"Tuesday, February 12, 2019",AS Roma,FC Porto,Olimpico,Forward,183,73,R,Adrián,#N/A,Tiquinho Soares,2,2
90,header,2020-2021,"Wednesday, October 21, 2020",Olympiakos Piraeus,Olympique Marseille,Georgios Karaiskakis,Forward,191,78,R,Ahmed Hassan,#N/A,Mathieu Valbuena,1,1
88,left-footed shot,2021-2022,"Wednesday, October 20, 2021",BSC Young Boys,Villarreal CF,Stadion Wankdorf,Defender,171,65,L,Alberto Moreno,Villarreal CF,,1,5
44,left-footed shot,2017-2018,"Tuesday, October 17, 2017",RB Leipzig,FC Porto,Red Bull Arena,Defender,189,79,L,Marcano,FC Porto,Héctor Herrera,3,3
90,right-footed shot,2018-2019,"Wednesday, November 28, 2018",FC Porto,FC FC Schalke 04,Estádio do Dragão,Forward,183,83,R,Moussa Marega,FC Porto,Otávio,1,1
68,right-footed shot,2016-2017,"Tuesday, October 18, 2016",Club Brugge KV,FC Porto,Jan Breydel Stadion,Defender,183,75,,Miguel Layún,FC Porto,Otávio,1,1
72,penalty,2020-2021,"Wednesday, November 25, 2020",Olympique Marseille,FC Porto,Vélodrome,Midfielder,181,78,R,Sérgio Oliveira,FC Porto,Moussa Marega,1,1
85,header,2020-2021,"Tuesday, October 27, 2020",FC Porto,Olympiakos Piraeus,Estádio do Dragão,Midfielder,181,78,R,Sérgio Oliveira,FC Porto,Moussa Marega,1,1
2,right-footed shot,2018-2019,"Tuesday, November 6, 2018",FC Porto,Lokomotiv Moskva,Estádio do Dragão,Midfielder,185,78,R,Héctor Herrera,FC Porto,Moussa Marega,1,1
26,right-footed shot,2018-2019,"Wednesday, March 6, 2019",FC Porto,AS Roma,Estádio do Dragão,Forward,187,89,R,Tiquinho Soares,FC Porto,Moussa Marega,1,1
69,right-footed shot,2017-2018,"Tuesday, September 26, 2017",AS Monaco,FC Porto,Stade Louis II,Forward,184,82,R,Vincent Aboubakar,FC Porto,Moussa Marega,2,2
89,right-footed shot,2017-2018,"Tuesday, September 26, 2017",AS Monaco,FC Porto,Stade Louis II,Defender,183,75,,Miguel Layún,FC Porto,Moussa Marega,1,2
64,left-footed shot,2018-2019,"Tuesday, September 18, 2018",FC Schalke 04,FC Porto,Veltins-Arena,Forward,187,88,R,Breel Embolo,FC Schalke 04,Weston McKennie,1,1
70,header,2020-2021,"Tuesday, February 16, 2021",FC Barcelona,Paris Saint-Germain,Spotify Camp Nou,Forward,182,72,R,Moise Kean,Paris Saint-Germain,Leandro Paredes,1,1
66,right-footed shot,2018-2019,"Wednesday, September 19, 2018",BSC Young Boys,Manchester United,Stadion Wankdorf,Forward,181,76,R,Anthony Martial,Manchester United,Paul Pogba,1,1
21,left-footed shot,2020-2021,"Wednesday, October 28, 2020",Manchester United,RB Leipzig,Old Trafford,Forward,181,70,,Mason Greenwood,Manchester United,Paul Pogba,1,1
87,right-footed shot,2020-2021,"Tuesday, October 20, 2020",Paris Saint-Germain,Manchester United,Parc des Princes,Forward,185,70,R,Marcus Rashford,Manchester United,Paul Pogba,1,1
64,left-footed shot,2017-2018,"Tuesday, December 5, 2017",Manchester United,CSKA Moskva,Old Trafford,Forward,192,93,L,Romelu Lukaku,Manchester United,Paul Pogba,1,1
82,right-footed shot,2020-2021,"Wednesday, February 17, 2021",FC Porto,Juventus,Estádio do Dragão,Forward,175,70,R,Federico Chiesa,Juventus,Adrien Rabiot,1,1
19,right-footed shot,2017-2018,"Tuesday, September 12, 2017",Celtic FC,Paris Saint-Germain,Celtic Park,Forward,175,68,R,Neymar,Paris Saint-Germain,Adrien Rabiot,1,1
9,left-footed shot,2017-2018,"Wednesday, November 22, 2017",Paris Saint-Germain,Celtic FC,Parc des Princes,Forward,175,68,R,Neymar,Paris Saint-Germain,Adrien Rabiot,2,1
90,right-footed shot,2016-2017,"Tuesday, November 1, 2016",FC Basel,Paris Saint-Germain,St. Jakob-Park,Defender,191,90,R,Thomas Meunier,Paris Saint-Germain,Adrien Rabiot,1,1
37,left-footed shot,2016-2017,"Tuesday, October 18, 2016",Real Madrid,Legia Warszawa,Santiago Bernabéu,Forward,182,76,L,Marco Asensio,Real Madrid,Cristiano Ronaldo,1,2
84,right-footed shot,2016-2017,"Tuesday, October 18, 2016",Real Madrid,Legia Warszawa,Santiago Bernabéu,Forward,187,82,R,Álvaro Morata,Real Madrid,Cristiano Ronaldo,1,2
49,right-footed shot,2016-2017,"Wednesday, February 15, 2017",Real Madrid,SSC Napoli,Santiago Bernabéu,Midfielder,183,76,R,Toni Kroos,Real Madrid,Cristiano Ronaldo,1,1
29,left-footed shot,2016-2017,"Tuesday, November 22, 2016",Sporting CP,Real Madrid,Estádio José Alvalade,Defender,191,81,R,Raphaël Varane,Real Madrid,Cristiano Ronaldo,1,1
49,right-footed shot,2020-2021,"Tuesday, March 9, 2021",Juventus,FC Porto,Allianz Stadium,Forward,175,70,R,Federico Chiesa,Juventus,Cristiano Ronaldo,2,1
45,right-footed shot,2017-2018,"Tuesday, November 21, 2017",APOEL Nikosia,Real Madrid,Neo GSP Stadium,Forward,185,81,R,Karim Benzema,Real Madrid,Cristiano Ronaldo,2,1
22,left-footed shot,2017-2018,"Wednesday, November 22, 2017",Paris Saint-Germain,Celtic FC,Parc des Princes,Forward,175,68,R,Neymar,Paris Saint-Germain,Marco Verratti,2,1
80,right-footed shot,2017-2018,"Tuesday, March 6, 2018",Paris Saint-Germain,Real Madrid,Parc des Princes,Midfielder,185,84,R,Casemiro,Real Madrid,Cristiano Ronaldo,1,1
80,left-footed shot,2018-2019,"Wednesday, December 12, 2018",BSC Young Boys,Juventus,Stadion Wankdorf,Forward,177,75,L,Paulo Dybala,Juventus,Cristiano Ronaldo,1,1
60,right-footed shot,2020-2021,"Wednesday, November 4, 2020",Ferencvárosi TC,Juventus,Puskás Aréna,Forward,187,82,R,Álvaro Morata,Juventus,Cristiano Ronaldo,2,1
4,right-footed shot,2019-2020,"Wednesday, November 6, 2019",Lokomotiv Moskva,Juventus,RŽD-Arena,Midfielder,182,76,,Aaron Ramsey,Juventus,Cristiano Ronaldo,1,1
1,left-footed shot,2016-2017,"Wednesday, November 2, 2016",Legia Warszawa,Real Madrid,Stadion Wojska Polskiego,Forward,185,82,L,Gareth Bale,Real Madrid,Cristiano Ronaldo,1,1
72,left-footed shot,2017-2018,"Tuesday, April 3, 2018",Juventus,Real Madrid,Allianz Stadium,Defender,174,75,L,Marcelo,Real Madrid,Cristiano Ronaldo,2,2
80,left-footed shot,2021-2022,"Wednesday, September 29, 2021",Zenit St. Petersburg,Malmö FF,Gazprom Arena,Forward,188,79,R,Aleksey Sutormin,#N/A,,1,11
